dataset,nodes,k,seed_id,algorithm,seed_median_s,seed_iqr_s,n_repeats
digits_n200,200,5,2,floyd_warshall,0.0078471966428571,0.00039347535714287507,6
digits_n200,200,5,2,johnson,0.00823473071428565,0.00036212514285715106,6
digits_n200,200,5,3,dijkstra,0.0067153909166666505,0.0005635670416666754,6
digits_n200,200,5,3,floyd_warshall,0.0076727085,0.0004944644999999998,6
digits_n200,200,5,3,johnson,0.008270814500000001,0.0006655042500000007,6
digits_n200,200,5,4,dijkstra,0.00634064025,0.00018372090625000045,6
digits_n200,200,5,4,floyd_warshall,0.0071432187142856495,0.00026576042857137487,6
digits_n200,200,5,4,johnson,0.0074635167142857,0.0004583177500000002,6
digits_n200,200,10,0,dijkstra,0.009362305500000001,0.000690307250000001,6
digits_n200,200,10,0,floyd_warshall,0.010388602,0.0005976277500000012,6
digits_n200,200,10,0,johnson,0.012057782999999999,0.0006903159999999998,6
digits_n200,200,10,1,dijkstra,0.0087355135833333,2.3502000000024184e-05,6
digits_n200,200,10,1,floyd_warshall,0.0103507925,0.0001685152500000009,6
digits_n200,200,10,1,johnson,0.0117821215,0.00037977050000000123,6
digits_n200,200,10,2,dijkstra,0.0088187548333333,0.00015225345833339878,6
digits_n200,200,10,2,floyd_warshall,0.0107067255,0.00045148050000000037,6
digits_n200,200,10,2,johnson,0.011666885500000002,0.00019518949999999986,6
digits_n200,200,10,3,dijkstra,0.0087630539166666,0.00023282687500005006,6
digits_n200,200,10,3,floyd_warshall,0.0109212875,0.000826958249999999,6
digits_n200,200,10,3,johnson,0.0114155825,0.0005862542500000012,6
digits_n200,200,10,4,dijkstra,0.0087617663333333,0.0002724334999999762,6
digits_n200,200,10,4,floyd_warshall,0.00981376566666665,0.00016100220833330063,6
digits_n200,200,10,4,johnson,0.011292752999999999,0.00018301725000000046,6
digits_n200,200,20,0,dijkstra,0.012960762,0.000809441499999999,6
digits_n200,200,20,0,floyd_warshall,0.0128117495,0.000803263999999998,6
digits_n200,200,20,0,johnson,0.0176572755,0.0008623910000000005,6
digits_n200,200,20,1,dijkstra,0.0131674945,9.874275000000196e-05,6
digits_n200,200,20,1,floyd_warshall,0.0130245825,0.0010987519999999997,6
digits_n200,200,20,1,johnson,0.017530928,0.0004963187500000021,6
digits_n200,200,20,2,dijkstra,0.0134218745,0.00064209925,6
digits_n200,200,20,2,floyd_warshall,0.01200155,0.0013139379999999989,6
digits_n200,200,20,2,johnson,0.016112702,0.00035634900000000233,6
digits_n200,200,20,3,dijkstra,0.0132390015,0.00026997974999999966,6
digits_n200,200,20,3,floyd_warshall,0.012774952999999999,0.0003899319999999991,6
digits_n200,200,20,3,johnson,0.0175393155,0.0007433424999999973,6
digits_n200,200,20,4,dijkstra,0.013158536,0.00023210750000000197,6
digits_n200,200,20,4,floyd_warshall,0.0130767765,0.0006758732500000003,6
digits_n200,200,20,4,johnson,0.0173439595,0.0013254112499999984,6
digits_n250,250,5,0,dijkstra,0.010140068,0.00025767725000000116,6
digits_n250,250,5,0,floyd_warshall,0.013947267499999999,0.0006921902499999986,6
digits_n250,250,5,0,johnson,0.012641501999999999,0.0004291030000000001,6
digits_n250,250,5,1,dijkstra,0.0108154085,0.0003392870000000006,6
digits_n250,250,5,1,floyd_warshall,0.016959765,0.000525966499999999,6
digits_n250,250,5,1,johnson,0.013187634,0.0006578880000000006,6
digits_n250,250,5,2,dijkstra,0.010755774,0.0007372422500000007,6
digits_n250,250,5,2,floyd_warshall,0.0135085055,0.001621717,6
digits_n250,250,5,2,johnson,0.012949946,0.0018800135000000013,6
digits_n250,250,5,3,dijkstra,0.010247527499999999,0.00018593174999999816,6
digits_n250,250,5,3,floyd_warshall,0.014147973000000001,0.0007381797500000016,6
digits_n250,250,5,3,johnson,0.0126088575,0.0003267695000000008,6
digits_n250,250,5,4,dijkstra,0.014176849500000002,0.0026578240000000013,6
digits_n250,250,5,4,floyd_warshall,0.016757386,0.004681866750000001,6
digits_n250,250,5,4,johnson,0.0176304745,0.00034685324999999753,6
digits_n250,250,10,0,dijkstra,0.014076044499999999,0.0004389537500000002,6
digits_n250,250,10,0,floyd_warshall,0.021610973,0.0012984902499999992,6
digits_n250,250,10,0,johnson,0.0182916735,0.0007118460000000021,6
digits_n250,250,10,1,dijkstra,0.0144161755,0.0007507694999999981,6
digits_n250,250,10,1,floyd_warshall,0.020424978,0.0017893880000000029,6
